 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
420,Nate Hinton,HOU,24,5,3,2,5.3,115.5,119.3,-3.8,4.3,1.00,9.1,7.1,10.3,8.8,9.1,66.7,66.7,15.2,104.94,4.5,58
420,R.J. Hampton,MIA,22,8,3,5,9.5,118.4,107.8,10.6,12.7,2.67,30.8,2.6,4.5,3.6,11.5,32.1,33.6,9.8,98.50,0.3,158
420,Ricky Council IV,PHI,22,3,3,0,2.7,55.0,125.0,-70.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,26.6,9.1,118.01,-7.7,20
420,Theo Maledon,PHX,22,13,3,10,15.4,110.6,123.8,-13.2,17.9,1.87,24.6,1.8,9.8,5.5,13.2,32.6,37.9,16.8,103.88,3.3,433
443,Brandon Williams,DAL,24,5,2,3,6.1,92.3,109.1,-16.8,40.0,3.00,28.6,5.4,9.1,7.1,9.5,63.6,60.6,20.5,103.71,13.9,65
443,Cody Martin,CHA,28,11,2,9,26.0,102.9,115.2,-12.3,13.0,2.08,21.3,3.9,8.7,6.1,10.2,42.6,43.5,14.8,99.62,5.2,594
443,Cole Swider,MIA,24,8,2,6,4.7,101.3,88.5,12.8,13.0,1.00,12.0,2.3,2.6,2.4,12.0,60.5,60.5,23.7,99.76,11.4,78
443,Dereon Seabron,NOP,23,5,2,3,10.5,118.8,92.2,26.6,9.8,0.00,20.0,2.2,8.6,6.0,0.0,34.6,44.8,12.8,103.90,6.8,112
443,Devonte' Graham,SAS,28,9,2,7,9.2,118.1,107.8,10.3,28.4,6.33,37.3,2.2,11.8,6.6,5.9,50.0,54.2,15.6,104.57,10.1,182
443,Dominick Barlow,SAS,20,19,2,17,12.8,111.3,117.7,-6.4,10.9,5.00,19.6,7.8,16.9,12.1,3.9,47.8,50.2,13.7,101.19,8.1,520
443,Dylan Windler,LAL,27,4,2,2,3.2,103.8,53.6,50.3,25.0,0.00,40.0,0.0,5.6,3.3,0.0,100,100,10.7,101.65,16.4,26
443,Eugene Omoruyi,WAS,26,19,2,17,5.8,109.2,97.6,11.6,18.0,1.22,12.9,9.6,14.4,12.0,10.6,62.7,66.2,27.3,106.64,16.9,240
443,Evan Fournier,NYK,31,3,2,1,12.9,96.3,111.3,-15.0,11.5,3.00,12.0,0.0,13.8,5.3,4.0,25.0,28.7,23.2,100.02,1.4,81
443,Filip Petrusev,SAC,23,3,2,1,3.1,110.0,80.0,30.0,0.0,0.00,0.0,0.0,8.3,5.6,0.0,50.0,52.1,15.0,103.11,2.6,20
443,GG Jackson,MEM,19,10,2,8,11.5,103.7,104.5,-0.8,5.0,0.50,4.7,7.1,12.9,9.9,9.4,57.6,60.7,21.4,102.09,10.0,244
443,Gabe Vincent,LAL,27,5,2,3,25.5,102.2,103.7,-1.5,17.2,7.50,30.0,1.5,2.3,1.9,4.0,40.6,41.1,11.5,100.97,3.6,269
443,Gui Santos,GSW,21,5,2,3,6.4,97.1,115.7,-18.7,10.5,1.00,11.8,9.5,21.9,14.9,11.8,45.0,59.3,18.5,103.72,11.3,68
443,JD Davison,BOS,21,2,2,0,2.8,84.6,71.4,13.2,0.0,0.00,0.0,16.7,11.1,13.3,0.0,0.0,53.2,13.3,115.71,13.5,13
443,Jalen Wilson,BKN,23,11,2,9,9.5,114.5,127.2,-12.6,11.3,3.00,18.4,11.2,9.5,10.5,6.1,53.1,63.5,14.1,100.55,10.6,220
443,James Johnson,IND,36,5,2,3,4.9,125.9,111.1,14.8,20.0,2.50,41.7,4.0,15.0,8.9,16.7,40.0,40.0,10.9,106.69,6.2,54
443,James Wiseman,DET,22,29,2,27,14.6,107.7,121.3,-13.6,6.5,0.72,10.5,9.2,18.0,13.6,14.5,67.5,67.9,14.8,105.48,9.1,926
443,Jared Butler,WAS,23,17,2,15,7.5,113.4,115.8,-2.4,37.8,3.10,32.3,0.0,8.4,4.2,10.4,66.0,68.9,21.2,103.72,13.8,276
443,Johnny Davis,WAS,21,19,2,17,7.9,108.4,106.5,1.9,4.4,1.00,8.3,5.5,7.5,6.5,8.3,44.8,46.8,14.7,107.15,4.8,334
443,Jordan Ford,SAC,25,6,2,4,3.6,128.9,100.0,28.9,11.8,2.00,18.2,0.0,10.0,5.1,9.1,71.4,76.1,18.4,97.91,11.9,45
443,Kevin Knox II,DET,24,24,2,22,19.3,109.5,120.3,-10.8,5.8,1.19,9.5,3.0,10.1,6.3,8.0,57.3,59.6,15.7,103.15,6.9,996
443,Kobe Bufkin,ATL,20,2,2,0,2.2,10.0,136.4,-126.4,0.0,0.00,0.0,16.7,100,28.6,0.0,0.0,12.9,33.3,114.11,-16.7,10
443,Lester Quinones,GSW,23,8,2,6,6.8,122.1,114.4,7.7,10.9,1.25,16.1,5.1,10.9,7.9,12.9,50.0,50.3,19.3,99.16,4.7,113
443,Mamadi Diakite,SAS,26,3,2,1,5.3,100.0,84.8,15.2,25.0,0.00,20.0,5.9,11.8,8.8,0.0,80.0,78.5,22.2,99.31,25.2,33
443,Marques Bolden,MIL,25,2,2,0,1.5,162.5,71.4,91.1,0.0,0.00,0.0,0.0,33.3,28.6,0.0,0.0,0.0,0.0,121.48,5.3,8
443,Marvin Bagley III,WAS,24,28,2,26,19.8,112.0,120.0,-8.0,8.4,0.91,9.9,10.7,15.7,13.1,10.9,58.3,62.0,21.2,101.92,11.0,1176
443,Moses Brown,POR,24,9,2,7,9.1,99.4,116.9,-17.5,4.0,0.50,6.9,18.4,35.4,26.0,13.8,42.9,39.5,13.0,99.28,9.0,168
443,Mouhamed Gueye,ATL,21,2,2,0,2.2,10.0,127.3,-117.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,114.98,-11.1,10
443,Nate Williams,HOU,24,6,2,4,6.0,110.1,96.3,13.8,10.7,3.00,13.6,7.1,0.0,3.5,4.5,50.0,54.9,20.0,106.18,9.5,79
443,Nathan Mensah,CHA,25,16,2,14,14.4,97.0,118.9,-21.9,4.3,0.54,14.6,8.8,14.9,11.5,27.1,40.9,49.5,7.6,99.03,0.8,473
443,Patrick Baldwin Jr.,WAS,21,13,2,11,7.9,111.5,98.2,13.3,7.7,1.20,13.3,4.5,18.9,12.0,11.1,56.7,59.6,15.1,105.85,8.2,226
443,Robert Williams III,POR,26,6,2,4,19.8,101.6,114.9,-13.3,6.5,0.71,12.2,8.0,22.7,14.8,17.1,65.4,68.4,12.2,101.25,11.3,252
443,Seth Lundy,ATL,23,8,2,6,6.1,105.7,117.1,-11.5,0.0,0.00,0.0,2.4,8.7,5.7,5.3,34.4,39.4,16.7,103.17,-0.7,106
443,Terquavion Smith,PHI,21,2,2,0,1.1,137.5,185.7,-48.2,0.0,0.00,0.0,0.0,0.0,0.0,0.0,150.0,150.0,22.2,169.94,26.1,8
443,Trevelin Queen,ORL,26,8,2,6,16.5,110.3,103.9,6.4,13.2,2.00,24.0,2.6,9.4,6.3,12.0,45.0,49.0,12.6,100.02,5.6,271
443,Usman Garuba,GSW,21,2,2,0,3.0,100.0,133.3,-33.3,33.3,0.00,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,126.94,0.0,17
443,Xavier Moon,LAC,29,2,2,0,5.8,76.9,137.5,-60.6,42.9,3.00,50.0,0.0,18.2,9.5,16.7,50.0,50.0,11.1,103.90,7.2,26
480,Alex Fudge,LAL,20,4,1,3,3.6,60.6,137.9,-77.3,0.0,0.00,0.0,13.3,0.0,6.9,12.5,16.7,29.1,21.1,102.86,-4.7,33
480,Bojan Bogdanovic,DET,34,21,1,20,33.6,110.9,124.8,-13.9,11.5,1.17,12.3,1.8,9.7,5.6,10.6,56.3,58.9,23.5,102.52,8.4,1507
480,D'Moi Hodge,LAL,25,7,1,6,5.9,86.4,130.6,-44.2,22.7,5.00,22.7,0.0,0.0,0.0,4.5,43.3,44.1,17.2,100.67,2.7,88
480,Danny Green,PHI,36,2,1,1,9.2,114.6,120.5,-5.9,5.6,0.00,33.3,0.0,11.1,5.6,0.0,0.0,0.0,4.3,104.07,1.2,41
480,Dariq Whitehead,BKN,19,2,1,1,12.0,110.9,153.7,-42.8,14.3,0.00,33.3,0.0,19.0,7.8,0.0,20.0,25.5,9.4,109.08,3.5,55
480,Dexter Dennis,DAL,24,4,1,3,7.5,89.0,100.0,-11.0,36.4,1.33,15.4,2.5,21.1,11.5,11.5,55.3,54.1,27.8,118.13,16.4,73
480,Drew Peterson,BOS,24,1,1,0,2.6,160.0,100.0,60.0,50.0,0.00,50.0,0.0,0.0,0.0,0.0,150.0,150.0,20.0,103.53,20.7,5
480,Hamidou Diallo,WAS,25,2,1,1,2.4,81.8,50.0,31.8,33.3,1.00,25.0,18.2,0.0,12.5,25.0,50.0,50.0,18.8,106.11,26.1,11
480,Isaiah Livers,WAS,25,23,1,22,20.4,106.1,125.4,-19.3,7.1,1.56,15.2,3.0,7.3,5.0,9.7,44.0,46.0,12.2,103.54,2.6,1011
480,Ish Wainright,POR,29,7,1,6,6.6,76.0,76.7,-0.7,0.0,0.00,0.0,0.0,17.6,8.0,5.0,50.0,53.0,17.1,108.27,14.8,104
480,Jake LaRavia,MEM,22,11,1,10,11.1,101.5,115.0,-13.5,8.5,1.50,10.9,5.0,7.2,6.0,7.3,43.0,44.7,16.0,102.66,2.0,262
480,Javon Freeman-Liberty,TOR,24,1,1,0,2.4,40.0,83.3,-43.3,0.0,0.00,0.0,25.0,0.0,20.0,0.0,33.3,33.3,50.0,112.34,7.7,5
480,Javonte Smart,PHI,24,1,1,0,0.7,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.00,0.0,1
480,Jordan Walsh,BOS,19,1,1,0,3.1,37.5,50.0,-12.5,0.0,0.00,0.0,0.0,66.7,36.4,0.0,0.0,0.0,10.0,125.90,75.0,8
480,Joshua Primo,LAC,21,1,1,0,5.0,84.6,108.3,-23.7,0.0,0.00,0.0,0.0,0.0,0.0,60.0,50.0,50.0,38.5,120.40,-5.8,13
480,Jules Bernard,WAS,24,3,1,2,4.9,83.3,105.9,-22.5,10.0,1.00,10.0,3.8,0.0,2.3,10.0,12.5,12.5,18.8,114.16,-17.6,36
480,Justin Minaya,POR,24,11,1,10,8.4,101.1,98.9,2.1,6.7,2.00,15.4,4.7,6.2,5.4,7.7,44.1,45.8,9.8,96.86,4.0,186
480,Kendall Brown,IND,20,3,1,2,5.6,88.9,97.2,-8.3,11.1,0.00,11.1,10.0,0.0,6.5,0.0,40.0,52.4,17.8,102.86,1.8,36
480,Keyontae Johnson,OKC,23,2,1,1,11.6,106.3,85.1,21.1,11.8,1.00,20.0,4.3,6.9,5.8,20.0,33.3,33.3,14.8,97.92,1.5,48
480,Micah Potter,UTA,25,2,1,1,3.6,40.0,146.2,-106.2,0.0,0.00,0.0,0.0,66.7,25.0,0.0,0.0,0.0,6.3,92.48,10.0,15
480,Noah Clowney,BKN,19,2,1,1,13.3,103.4,150.9,-47.5,12.5,2.00,15.4,8.8,9.5,9.1,7.7,66.7,70.9,16.2,104.47,8.3,59
