 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
44,Troy Brown Jr.,MIN,24,34,25,9,11.6,111.6,112.5,-0.9,12.1,1.83,18.9,3.7,12.9,8.5,10.3,57.5,60.7,15.2,100.62,8.9,827
44,Zeke Nnaji,DEN,23,34,25,9,9.7,100.9,115.2,-14.3,7.7,0.81,12.2,10.6,10.2,10.4,15.1,50.6,54.4,15.6,99.21,5.5,672
56,Aaron Gordon,DEN,28,37,24,13,32.1,120.8,112.7,8.1,12.8,2.31,19.7,8.7,12.5,10.6,8.5,57.2,59.0,17.2,98.20,9.7,2442
56,Bennedict Mathurin,IND,21,42,24,18,25.7,115.9,119.9,-4.0,10.4,1.22,12.2,4.1,10.3,7.2,10.0,52.0,57.3,22.4,104.07,8.7,2350
56,Buddy Hield,IND,31,42,24,18,26.0,122.1,117.5,4.6,12.5,1.96,17.9,2.7,10.2,6.4,9.1,57.5,58.7,19.1,104.65,8.0,2388
56,Duncan Robinson,MIA,29,40,24,16,28.8,113.6,111.3,2.3,16.0,2.22,19.6,1.0,8.3,4.7,8.8,60.1,62.4,18.9,98.54,9.0,2360
56,Jaylin Williams,OKC,21,34,24,10,11.5,114.3,108.4,5.9,14.9,3.14,26.0,3.9,22.4,13.2,8.3,50.0,53.3,13.6,100.79,8.7,824
56,Kawhi Leonard,LAC,32,36,24,12,34.5,120.3,110.1,10.2,16.2,2.28,15.0,3.2,14.2,8.9,6.6,58.8,62.9,25.4,98.20,15.6,2549
56,Khris Middleton,MIL,32,36,24,12,25.5,122.1,115.3,6.8,26.3,2.35,25.9,2.3,12.9,8.0,11.0,55.6,58.3,23.5,102.68,11.4,1972
56,Myles Turner,IND,27,41,24,17,27.7,123.0,117.2,5.8,6.2,0.88,7.9,6.5,19.4,13.1,8.9,59.0,63.5,22.6,103.37,11.5,2444
56,Obi Toppin,IND,25,42,24,18,23.3,121.3,119.8,1.5,8.5,2.16,15.3,4.4,12.5,8.4,7.1,67.8,69.4,15.3,105.63,9.3,2155
56,Paul George,LAC,33,38,24,14,34.8,122.8,112.5,10.3,15.7,1.76,14.7,1.9,13.9,8.2,8.4,57.0,61.1,26.7,98.37,12.8,2710
56,Quentin Grimes,NYK,23,40,24,16,19.7,108.3,109.6,-1.2,8.3,2.37,14.3,1.5,7.0,4.2,6.0,52.9,53.9,14.3,98.16,5.7,1610
56,Shake Milton,MIN,27,33,24,9,13.1,104.7,108.5,-3.7,14.2,1.62,18.6,1.1,8.5,4.9,11.5,45.0,50.8,17.6,103.28,5.9,931
68,Andre Jackson Jr.,MIL,22,36,23,13,11.4,116.0,120.3,-4.3,10.6,1.84,26.9,8.8,11.5,10.1,14.6,62.3,63.7,9.6,102.71,4.5,879
68,Daniel Theis,LAC,31,30,23,7,16.8,116.3,114.0,2.2,6.7,1.25,11.8,9.5,11.9,10.7,9.4,55.7,58.3,15.8,100.26,7.5,1056
68,Domantas Sabonis,SAC,27,41,23,18,35.2,115.6,116.4,-0.9,33.8,2.44,30.1,8.9,27.9,17.9,12.3,63.1,65.0,22.3,100.37,16.7,3022
68,Harrison Barnes,SAC,31,41,23,18,29.1,115.3,117.5,-2.2,5.6,1.73,12.3,2.7,7.1,4.8,7.1,58.5,62.2,13.2,101.33,6.3,2514
68,Jaime Jaquez Jr.,MIA,22,39,23,16,30.2,113.4,113.2,0.2,13.6,1.57,16.7,4.2,8.8,6.5,10.7,56.3,60.0,19.0,99.14,8.9,2431
68,James Harden,LAC,34,35,23,12,34.0,122.0,113.2,8.8,33.2,3.17,35.0,1.0,12.3,6.9,11.0,57.5,64.1,20.1,97.34,13.4,2413
68,Jarrett Allen,CLE,25,35,23,12,30.3,114.6,108.7,5.9,13.9,1.66,19.2,11.4,21.8,16.7,11.5,66.7,69.5,17.3,100.27,15.0,2207
68,Jordan Hawkins,NOP,21,38,23,15,21.9,115.0,115.7,-0.7,9.1,1.77,11.9,2.5,9.8,6.1,6.8,54.0,57.3,19.5,100.55,7.8,1757
68,Jusuf Nurkic,PHX,29,39,23,16,28.0,120.6,111.3,9.2,16.7,1.84,21.6,10.5,26.8,19.1,11.7,51.9,56.0,19.5,99.18,12.3,2264
68,Kenrich Williams,OKC,29,31,23,8,15.3,117.1,105.9,11.1,13.0,3.62,25.7,5.0,13.3,9.5,7.1,57.2,56.4,12.4,101.69,7.7,997
68,Kristaps Porzingis,BOS,28,31,23,8,29.9,120.3,109.6,10.7,9.6,1.29,11.2,5.4,15.9,10.9,8.7,59.4,65.6,22.8,101.13,13.2,1960
68,Malik Monk,SAC,25,40,23,17,26.0,115.9,115.6,0.3,30.2,2.60,26.6,1.4,8.9,5.0,10.2,54.1,57.8,23.7,102.35,11.1,2224
68,Terance Mann,LAC,27,34,23,11,25.1,120.3,115.9,4.4,9.2,2.82,19.7,5.2,8.1,6.7,7.0,50.2,52.5,12.7,98.18,5.4,1744
68,Tim Hardaway Jr.,DAL,31,39,23,16,29.6,117.9,117.7,0.1,8.4,1.74,9.1,1.2,10.9,5.9,5.3,52.8,56.6,23.6,102.23,9.3,2470
68,Tristan Thompson,CLE,32,35,23,12,12.1,118.5,113.4,5.1,12.5,1.77,23.4,13.6,17.2,15.4,13.2,67.8,62.6,12.6,98.61,9.3,870
83,Aaron Nesmith,IND,24,37,22,15,25.5,120.0,117.9,2.1,5.5,1.24,10.1,3.4,9.4,6.5,8.2,64.4,65.7,15.9,104.01,7.2,2035
83,Brandon Ingram,NOP,26,39,22,17,33.1,117.7,113.4,4.3,25.6,2.33,21.3,1.8,12.9,7.4,9.2,53.2,58.0,26.9,99.20,12.8,2670
83,Cole Anthony,ORL,23,41,22,19,24.7,111.9,112.1,-0.3,20.6,1.80,19.1,4.3,12.8,8.5,10.6,49.0,55.1,23.8,99.18,10.7,2096
83,Collin Sexton,UTA,25,44,22,22,24.2,117.3,117.0,0.2,25.6,2.24,20.1,3.5,6.9,5.2,9.0,54.7,61.3,26.5,102.40,12.4,2274
83,De'Anthony Melton,PHI,25,33,22,11,29.1,122.8,112.1,10.7,14.1,2.76,20.8,2.8,10.9,6.8,7.5,50.0,54.0,17.4,101.38,7.8,2025
83,Derrick Jones Jr.,DAL,26,40,22,18,26.0,114.9,116.6,-1.7,5.0,1.08,9.3,4.7,9.1,6.9,8.6,58.5,61.0,15.2,102.15,7.5,2216
83,Dwight Powell,DAL,32,39,22,17,16.0,120.3,114.3,6.1,13.1,3.47,32.5,11.0,13.1,12.1,9.4,71.5,75.3,9.0,102.26,8.9,1327
83,Jaden McDaniels,MIN,23,32,22,10,28.3,116.7,110.7,6.0,5.9,0.98,10.6,2.5,6.3,4.5,10.9,59.5,60.6,16.1,98.27,5.7,1844
83,Julian Strawther,DEN,21,33,22,11,13.9,105.6,116.4,-10.8,11.3,2.40,14.6,0.8,9.4,5.0,6.1,48.4,50.0,18.7,101.37,5.9,971
83,Kelly Oubre Jr.,PHI,28,29,22,7,27.3,117.5,111.5,6.1,5.1,1.07,7.6,3.2,11.8,7.5,7.1,54.9,57.3,18.5,100.92,8.0,1659
83,Kevin Huerter,SAC,25,39,22,17,23.8,118.6,115.4,3.1,14.2,4.30,20.5,2.0,13.8,7.8,4.8,54.9,56.4,17.7,100.77,8.5,1951
83,MarJon Beauchamp,MIL,23,34,22,12,15.7,117.0,115.5,1.5,6.8,1.21,14.7,3.9,11.4,7.8,12.2,56.7,57.4,13.1,103.28,5.5,1150
83,Marcus Morris Sr.,PHI,34,33,22,11,16.3,114.3,113.1,1.2,6.3,1.77,10.6,3.1,14.4,8.6,6.0,53.9,57.2,14.9,98.99,7.7,1112
83,Ochai Agbaji,UTA,23,44,22,22,20.1,109.8,114.3,-4.5,6.3,1.28,13.4,3.6,8.2,5.9,10.5,52.9,54.1,12.3,101.18,5.4,1863
83,Paolo Banchero,ORL,21,42,22,20,35.0,110.5,112.9,-2.4,23.1,1.52,16.7,3.4,17.2,10.1,11.0,48.8,53.5,29.4,99.64,12.8,3049
98,Amir Coffey,LAC,26,28,21,7,15.4,115.3,116.4,-1.0,5.3,1.50,14.5,2.6,7.8,5.3,9.7,63.8,65.9,10.2,100.40,5.5,907
98,Andre Drummond,CHI,30,44,21,23,16.0,111.2,112.2,-1.0,5.6,0.50,6.7,19.2,32.9,25.7,13.3,54.9,56.3,20.4,98.04,15.6,1432
98,Anthony Davis,LAL,30,41,21,20,36.1,114.7,114.9,-0.2,16.5,1.67,14.4,8.9,23.6,16.5,8.6,56.7,62.2,26.1,102.08,16.8,3145
98,Austin Reaves,LAL,25,43,21,22,30.2,111.9,116.7,-4.8,25.0,2.46,27.1,2.8,10.8,6.9,11.0,56.1,61.4,19.7,101.87,11.1,2758
98,Ayo Dosunmu,CHI,24,42,21,21,23.1,110.8,112.9,-2.1,13.1,2.41,20.2,2.7,7.9,5.3,8.4,55.7,58.1,15.4,97.98,7.5,1988
98,Coby White,CHI,23,44,21,23,35.5,114.4,114.2,0.1,20.3,2.32,21.4,1.3,11.3,6.3,9.2,55.1,58.3,22.2,97.11,10.2,3158
98,D'Angelo Russell,LAL,27,39,21,18,29.6,114.3,113.0,1.3,28.3,3.12,28.3,1.1,7.6,4.5,9.1,56.3,58.5,21.9,102.93,10.5,2483
98,Dean Wade,CLE,27,33,21,12,22.0,112.8,104.7,8.1,5.4,1.88,14.7,4.0,15.7,9.9,7.8,58.1,59.7,9.9,100.50,7.1,1512
98,Eric Gordon,PHX,35,35,21,14,30.4,117.0,115.1,1.9,10.7,1.88,15.9,1.1,5.7,3.6,8.5,56.8,57.9,17.2,99.48,7.3,2205
98,Grayson Allen,PHX,28,36,21,15,33.4,119.8,116.2,3.6,11.8,2.02,20.5,2.5,10.1,6.5,10.2,65.4,68.5,14.8,99.49,9.0,2491
98,Jaden Hardy,DAL,21,37,21,16,15.8,108.7,112.9,-4.3,15.5,2.11,15.4,1.7,11.1,6.2,7.3,46.8,48.6,22.6,103.28,7.2,1260
98,Jamal Murray,DEN,26,29,21,8,30.9,122.1,114.0,8.1,29.9,3.34,25.0,1.9,10.5,6.3,7.5,55.8,59.3,27.0,97.89,13.7,1823
98,Josh Okogie,PHX,25,35,21,14,18.6,112.7,109.2,3.5,9.6,2.14,18.7,6.8,7.9,7.3,8.7,45.7,53.4,12.5,100.32,6.5,1355
98,Keegan Murray,SAC,23,37,21,16,32.8,115.2,114.0,1.2,6.8,1.79,9.7,3.9,13.3,8.4,5.4,56.2,58.1,18.9,100.61,9.0,2546
98,Kelly Olynyk,UTA,32,42,21,21,20.8,112.9,116.2,-3.4,28.7,2.56,36.2,6.2,17.3,11.9,14.2,61.5,66.1,15.1,102.05,11.7,1859
98,Kyle Lowry,MIA,37,36,21,15,28.1,113.1,112.3,0.9,19.9,2.72,32.2,2.4,10.7,6.5,11.9,57.1,59.8,13.0,98.08,7.6,2073
98,Luka Doncic,DAL,24,35,21,14,36.8,118.9,117.2,1.7,42.2,2.33,22.8,1.8,20.1,10.9,9.8,56.9,61.3,35.8,101.02,19.8,2714
98,Moritz Wagner,ORL,26,40,21,19,19.2,113.2,112.8,0.4,11.3,1.08,12.3,8.1,15.7,11.9,11.4,63.1,66.8,20.9,100.56,13.1,1608
98,Naji Marshall,NOP,25,34,21,13,18.5,117.3,109.1,8.2,14.1,1.83,19.9,5.8,12.9,9.5,10.8,53.2,58.1,17.7,101.60,9.3,1332
98,Nicolas Batum,PHI,35,30,21,9,24.7,123.2,110.1,13.0,11.1,3.78,32.1,4.8,9.8,7.4,8.5,69.2,69.4,8.2,100.55,6.8,1550
98,Simone Fontecchio,UTA,28,42,21,21,22.8,114.9,115.2,-0.2,8.2,1.28,14.1,4.1,9.9,7.0,11.0,57.7,59.3,15.2,102.63,6.7,2061
119,Aaron Holiday,HOU,27,39,20,19,16.5,109.7,106.8,2.9,13.5,2.22,20.0,1.4,8.9,5.1,9.0,54.4,57.1,15.3,102.26,7.7,1373
119,Alperen Sengun,HOU,21,41,20,21,32.6,114.3,112.2,2.1,25.1,1.90,18.8,8.0,19.0,13.5,9.9,55.6,59.0,28.0,98.27,15.5,2736
119,Anthony Black,ORL,20,39,20,19,19.4,107.6,108.5,-0.9,12.2,1.79,24.6,2.7,9.7,6.3,13.8,55.7,57.7,11.3,102.48,5.9,1608
119,Chris Duarte,SAC,26,34,20,14,13.5,113.4,114.6,-1.2,8.8,1.60,17.0,2.7,11.4,6.9,10.6,44.4,47.6,14.3,100.26,3.6,947
119,De'Aaron Fox,SAC,26,35,20,15,35.6,118.1,114.9,3.3,24.8,2.24,17.9,2.4,9.3,5.7,8.0,54.5,57.9,30.6,102.68,12.8,2669
119,DeMar DeRozan,CHI,34,42,20,22,37.0,111.6,114.7,-3.0,22.7,3.73,20.4,1.5,9.5,5.4,5.5,49.0,56.0,24.2,98.08,12.0,3178
119,Dereck Lively II,DAL,19,31,20,11,25.4,120.0,114.7,5.3,6.5,1.08,15.1,11.3,18.4,15.0,14.0,73.5,72.6,12.0,101.39,9.9,1664
119,Devin Booker,PHX,27,32,20,12,36.0,120.5,114.5,6.0,33.5,2.74,23.8,2.1,10.8,6.7,8.7,54.4,60.9,29.2,99.49,14.8,2392
119,Fred VanVleet,HOU,29,40,20,20,37.0,113.9,110.9,3.1,33.1,5.33,33.7,1.0,8.7,4.9,6.3,51.6,55.9,19.5,98.21,12.1,3033
119,Furkan Korkmaz,PHI,26,26,20,6,6.6,108.7,106.3,2.4,9.8,1.50,17.9,0.5,7.6,3.9,11.9,45.5,48.6,12.6,106.48,5.1,380
119,Grant Williams,DAL,25,38,20,18,26.8,112.7,118.1,-5.4,8.6,1.74,17.4,3.5,9.4,6.3,10.0,53.9,55.7,13.0,101.25,4.6,2144
119,Immanuel Quickley,TOR,24,41,20,21,26.0,115.9,113.0,2.9,19.0,3.11,19.0,0.8,10.9,5.9,6.1,54.2,59.0,23.2,99.57,11.8,2209
119,Isaiah Jackson,IND,22,33,20,13,13.8,115.7,115.1,0.6,8.7,1.25,13.6,10.8,19.6,15.1,10.9,67.6,69.5,16.7,105.55,11.8,996
119,Jabari Smith Jr.,HOU,20,40,20,20,31.7,112.0,112.7,-0.7,6.6,1.18,10.1,6.0,20.2,13.2,8.6,55.4,58.7,17.5,98.77,10.4,2607
119,Jalen Green,HOU,21,41,20,21,30.2,111.7,114.0,-2.4,15.8,1.45,14.5,1.2,13.4,7.3,10.0,47.0,52.3,26.3,99.09,9.8,2564
119,Jevon Carter,CHI,28,42,20,22,14.3,108.1,107.5,0.6,12.5,2.26,16.8,0.8,4.6,2.6,7.4,48.7,48.9,17.8,98.77,5.2,1231
119,John Collins,UTA,26,40,20,20,27.6,112.6,121.1,-8.5,5.4,0.68,7.1,6.9,20.5,13.6,10.5,56.4,59.5,19.5,101.26,9.9,2327
119,Josh Richardson,MIA,30,33,20,13,26.7,109.2,115.2,-6.0,14.6,2.69,21.4,1.6,8.8,5.2,8.0,52.2,56.2,15.5,98.72,7.4,1815
119,Luke Kornet,BOS,28,29,20,9,14.5,117.6,112.5,5.1,8.6,2.17,19.3,11.2,12.3,11.7,8.9,69.0,72.3,10.8,97.75,10.8,852
119,OG Anunoby,NYK,26,38,20,18,34.3,116.6,108.5,8.1,8.9,1.53,14.3,2.9,9.2,6.1,9.3,58.8,60.9,16.8,100.02,8.3,2721
119,Oshae Brissett,BOS,25,25,20,5,11.8,116.8,109.1,7.6,6.3,2.33,12.5,8.8,15.4,12.0,5.4,52.0,56.7,13.3,102.43,8.4,626
119,Robert Covington,PHI,33,29,20,9,16.8,115.6,103.6,12.1,6.4,2.18,16.8,6.4,12.7,9.7,7.7,53.6,58.0,10.4,98.87,7.9,998
119,Seth Curry,DAL,33,33,20,13,12.8,112.4,104.2,8.2,8.3,1.86,14.8,2.9,7.5,5.2,8.0,47.0,49.6,14.7,102.27,5.4,908
119,Taurean Prince,LAL,29,41,20,21,30.6,112.7,116.3,-3.6,7.6,2.00,16.0,0.9,8.0,4.5,8.0,55.5,56.8,13.1,102.00,5.1,2668
119,Tyrese Haliburton,IND,23,34,20,14,33.4,125.3,118.6,6.7,50.1,5.10,37.8,1.8,10.3,6.1,7.4,59.5,63.2,25.2,104.53,17.5,2476
119,Walker Kessler,UTA,22,36,20,16,24.0,112.7,110.5,2.2,4.8,0.76,9.6,10.8,18.9,15.0,12.5,65.7,64.7,13.0,100.71,11.2,1808
119,Zion Williamson,NOP,23,35,20,15,30.4,114.4,111.7,2.7,24.2,1.81,18.5,5.9,12.2,9.1,10.2,59.2,61.7,27.6,102.21,14.1,2266
146,AJ Green,MIL,24,26,19,7,7.9,121.0,116.1,4.9,10.0,0.00,18.4,2.7,7.2,5.2,0.0,60.7,62.0,14.5,102.59,6.4,439
146,Alex Caruso,CHI,29,37,19,18,25.5,108.9,108.7,0.2,14.8,2.04,22.4,3.8,9.8,6.8,11.0,61.6,63.8,15.1,99.42,9.4,1951
146,Bam Adebayo,MIA,26,32,19,13,35.0,109.3,110.2,-0.8,21.1,1.67,16.4,6.2,23.7,15.0,9.8,50.5,57.0,26.8,98.27,15.6,2297
146,Bruce Brown,TOR,27,35,19,16,29.4,123.3,119.9,3.4,11.6,2.35,19.7,2.8,13.7,8.2,8.4,53.0,57.1,16.3,104.15,7.8,2230
146,CJ McCollum,NOP,32,29,19,10,32.0,117.9,112.1,5.9,22.7,3.42,22.4,2.0,11.6,6.8,6.6,58.1,60.4,23.0,100.54,12.5,1953
146,Christian Wood,LAL,28,37,19,18,18.8,108.3,108.1,0.2,7.8,0.86,11.8,4.9,23.1,14.6,13.7,54.3,57.7,17.4,101.08,10.5,1467
146,Craig Porter Jr.,CLE,23,27,19,8,16.3,116.1,113.6,2.5,26.6,2.69,29.4,3.4,13.8,8.7,10.9,52.5,55.0,20.3,98.21,11.2,897
146,Danuel House Jr.,PHI,30,26,19,7,13.2,110.6,104.8,5.9,8.2,1.25,17.1,2.8,8.3,5.5,13.7,52.8,57.3,11.5,102.48,5.0,733
146,Donovan Mitchell,CLE,27,31,19,12,35.6,115.5,107.1,8.4,26.5,2.19,18.3,2.9,11.6,7.4,8.3,53.5,58.9,31.0,100.46,16.1,2313
146,Franz Wagner,ORL,22,34,19,15,33.4,110.1,108.7,1.3,18.8,2.10,16.0,3.1,14.2,8.6,7.7,50.9,56.1,25.4,100.96,13.6,2387
146,Goga Bitadze,ORL,24,38,19,19,21.0,114.3,110.5,3.8,11.2,2.10,21.4,11.4,19.5,15.4,10.2,61.8,64.0,12.5,98.47,11.9,1634
146,Isaac Okoro,CLE,22,31,19,12,26.3,110.8,109.2,1.7,10.8,2.32,20.1,4.8,7.9,6.4,8.6,55.7,58.4,13.5,99.28,6.9,1673
146,Jae'Sean Tate,HOU,28,39,19,20,18.7,111.5,107.1,4.3,8.3,2.59,19.5,5.3,13.1,9.1,7.5,53.6,55.6,10.5,100.58,6.1,1519
146,Jalen Suggs,ORL,22,38,19,19,26.7,109.5,113.1,-3.6,13.4,1.23,15.4,2.4,10.4,6.3,12.5,56.0,58.7,20.4,101.10,8.6,2137
146,Jeff Green,HOU,37,40,19,21,16.3,110.0,112.5,-2.5,6.9,1.07,11.4,4.0,8.1,6.1,10.6,57.0,64.1,15.0,99.81,7.9,1359
146,Jordan Goodwin,PHX,25,35,19,16,15.5,107.0,109.5,-2.5,21.2,2.62,25.4,7.0,13.3,10.2,9.7,43.4,46.7,17.1,98.39,9.1,1114
146,Kobe Brown,LAC,24,25,19,6,10.0,114.2,121.8,-7.6,7.8,3.75,19.7,2.3,12.0,7.0,5.3,49.1,49.2,10.1,98.69,3.2,514
146,Kris Dunn,UTA,29,36,19,17,17.6,120.3,113.4,6.9,28.6,3.48,42.0,3.6,12.0,8.0,12.1,53.2,54.2,13.4,103.88,8.7,1367
146,LeBron James,LAL,39,39,19,20,34.4,113.6,112.9,0.7,34.8,2.23,24.3,2.8,17.5,10.4,10.9,58.0,61.0,28.8,101.60,16.7,2837
146,Miles McBride,NYK,23,30,19,11,9.4,100.7,104.7,-4.0,16.6,2.70,18.5,1.3,5.8,3.5,6.8,58.1,59.4,17.8,97.17,8.7,570
146,Nikola Vucevic,CHI,33,39,19,20,33.6,111.4,113.6,-2.2,16.5,2.21,16.6,7.7,23.3,15.5,7.5,50.2,52.2,23.1,97.54,12.6,2666
146,Patrick Williams,CHI,22,41,19,22,27.3,114.1,114.4,-0.3,7.6,1.17,12.8,4.0,10.2,7.0,11.0,53.3,56.0,16.1,97.48,6.8,2277
146,RJ Barrett,TOR,23,37,19,18,30.6,115.5,115.8,-0.3,13.4,1.58,13.0,2.6,13.7,8.1,8.2,51.4,56.0,25.5,101.17,10.2,2374
169,Andrew Nembhard,IND,24,28,18,10,20.5,114.3,115.3,-1.1,26.4,2.23,31.0,3.0,5.6,4.3,13.9,53.0,54.4,18.7,102.35,7.4,1221
169,Caris LeVert,CLE,29,31,18,13,28.8,114.2,113.6,0.6,21.2,2.67,19.8,1.6,10.4,6.0,7.4,49.5,53.0,24.1,100.58,10.4,1876
169,Chimezie Metu,PHX,26,31,18,13,13.2,110.9,114.6,-3.7,5.8,0.67,8.7,6.0,18.2,12.4,13.0,56.9,62.3,17.6,100.00,10.5,856
169,Dante Exum,DAL,28,30,18,12,19.5,122.5,112.8,9.7,18.7,3.31,26.6,3.0,11.1,7.2,8.0,64.8,66.5,16.9,102.09,11.2,1248
169,Dario Saric,GSW,29,40,18,22,20.9,114.9,113.4,1.5,16.6,1.88,19.8,6.5,20.0,13.1,10.5,58.1,62.1,19.3,99.63,12.2,1735
169,Davion Mitchell,SAC,25,31,18,13,12.1,98.9,113.5,-14.6,22.1,3.38,28.6,1.0,6.7,3.7,8.5,42.9,45.1,15.0,102.82,4.6,802
169,Dejounte Murray,ATL,27,42,18,24,34.7,116.1,119.2,-3.1,21.5,2.27,19.4,1.8,12.2,6.7,8.5,53.7,56.5,24.0,102.69,11.5,3119
169,Haywood Highsmith,MIA,27,28,18,10,21.1,111.6,111.6,0.0,8.3,1.75,17.0,4.2,10.1,7.1,9.7,52.1,54.4,12.5,99.06,5.7,1218
169,JaVale McGee,SAC,36,32,18,14,8.1,109.5,113.2,-3.6,8.2,0.45,9.0,11.9,23.4,17.6,19.9,63.2,64.4,21.5,105.34,12.4,576
169,Jalen Smith,IND,23,29,18,11,17.8,118.6,120.6,-2.0,8.2,1.28,12.3,8.2,24.1,16.0,9.6,70.6,72.1,18.2,103.37,12.2,1102
169,Jaxson Hayes,LAL,23,34,18,16,9.9,100.8,108.8,-8.0,5.1,0.67,11.5,5.2,11.7,8.8,17.3,65.1,64.4,11.8,102.14,4.4,714
169,KJ Martin,PHI,23,27,18,9,6.6,102.6,109.8,-7.2,9.9,2.00,17.9,3.0,8.3,5.4,9.0,48.9,49.6,12.1,104.97,4.0,389
169,Keon Ellis,SAC,24,28,18,10,12.2,116.6,115.3,1.3,12.9,2.33,24.8,2.7,8.6,5.6,10.6,59.0,60.2,13.0,101.10,5.6,716
169,Kevin Durant,PHX,35,34,18,16,36.9,118.6,114.7,3.9,25.1,1.74,18.2,1.4,15.0,8.5,10.5,58.2,64.2,29.1,100.24,16.3,2625
169,Kevon Looney,GSW,27,40,18,22,20.5,114.7,118.7,-4.0,15.8,3.31,32.0,12.3,21.7,16.9,9.7,61.8,64.3,10.3,99.79,10.3,1701
169,Keyonte George,UTA,20,38,18,20,24.3,108.7,115.6,-6.9,26.0,2.09,25.9,1.4,9.8,5.6,12.4,46.6,52.0,21.1,101.02,8.5,1945
169,Malachi Flynn,NYK,25,38,18,20,13.3,107.2,114.2,-7.0,21.8,2.20,28.3,2.3,10.8,6.3,12.9,51.0,53.6,15.7,100.36,7.5,1053
169,Saddiq Bey,ATL,24,42,18,24,32.5,118.3,118.9,-0.6,5.2,1.34,9.4,7.1,12.2,9.6,7.0,49.4,53.9,15.4,102.73,7.2,2920
169,Stephen Curry,GSW,35,37,18,19,33.2,116.6,119.5,-2.8,23.5,1.60,16.8,1.4,11.2,6.2,10.5,56.5,62.2,30.0,101.49,13.8,2607
169,T.J. McConnell,IND,31,34,18,16,16.8,116.2,115.8,0.4,43.1,3.78,38.8,3.2,13.2,8.1,10.3,53.6,55.9,20.8,103.89,14.8,1236
189,Bogdan Bogdanovic,ATL,31,40,17,23,28.1,117.6,115.9,1.7,13.4,2.36,14.0,1.7,9.9,5.6,5.9,53.4,56.1,22.9,102.51,9.3,2409
189,Cam Reddish,LAL,24,33,17,16,23.6,109.9,112.0,-2.0,7.3,1.55,15.8,2.5,7.7,5.1,10.2,46.9,51.1,13.0,102.78,4.8,1670
189,Clint Capela,ATL,29,40,17,23,26.0,113.9,117.8,-3.9,5.2,1.08,8.7,16.1,21.4,18.6,8.0,57.8,59.9,15.7,102.87,11.6,2221
189,Drew Eubanks,PHX,26,35,17,18,15.7,106.7,115.4,-8.7,9.0,0.86,14.0,8.9,17.1,13.0,16.2,59.5,63.5,14.4,99.94,9.9,1141
189,Joe Ingles,ORL,36,28,17,11,18.6,117.7,110.5,7.2,23.2,3.77,39.2,2.2,11.7,7.1,10.4,54.5,57.4,12.2,100.69,9.0,1097
189,Jonathan Kuminga,GSW,21,39,17,22,23.1,114.6,114.7,-0.1,9.9,1.05,10.4,4.9,13.1,9.0,9.9,55.3,59.0,23.3,101.94,9.8,1919
189,Josh Green,DAL,23,29,17,12,25.5,118.8,116.3,2.5,12.5,2.70,25.3,2.1,9.3,5.7,9.3,55.4,56.1,12.3,101.14,6.2,1552
189,Keita Bates-Diop,PHX,27,30,17,13,16.1,109.2,115.2,-6.0,8.4,4.50,15.9,4.9,12.2,8.6,3.5,44.4,48.6,12.8,98.38,6.9,988
189,Kessler Edwards,SAC,23,28,17,11,4.9,99.7,107.6,-8.0,7.5,7.00,13.7,3.3,11.8,7.3,2.0,52.4,53.8,12.8,103.77,7.1,296
189,Kevin Love,MIA,35,32,17,15,18.9,117.1,110.6,6.5,19.6,3.12,22.0,6.0,29.4,17.6,7.0,55.8,60.4,20.4,99.67,14.5,1250
189,Klay Thompson,GSW,33,39,17,22,30.4,117.2,120.8,-3.7,11.3,1.42,12.4,1.8,9.5,5.6,8.7,54.2,57.1,22.7,101.20,8.3,2510
189,Lauri Markkanen,UTA,26,34,17,17,32.7,119.4,115.4,4.0,8.5,1.62,8.6,7.2,19.0,13.2,5.3,59.4,64.8,24.2,102.74,15.0,2375
189,Mikal Bridges,BKN,27,41,17,24,34.7,113.6,115.6,-2.0,16.7,1.58,15.0,2.4,11.9,7.0,9.5,51.3,56.6,25.4,99.17,11.3,2944
189,Onyeka Okongwu,ATL,23,41,17,24,24.7,117.7,117.3,0.4,7.5,1.65,14.7,9.9,17.2,13.4,8.9,61.3,65.4,13.0,103.24,9.1,2172
189,Precious Achiuwa,NYK,24,36,17,19,16.1,107.7,113.1,-5.5,12.6,1.24,15.0,11.1,18.8,14.8,12.1,51.2,52.6,18.9,99.89,10.0,1209
189,Royce O'Neale,BKN,30,40,17,23,25.0,112.4,112.4,-0.1,16.6,2.88,28.1,3.0,14.9,8.9,9.8,52.3,52.8,13.1,100.37,7.5,2095
189,Sam Merrill,CLE,27,25,17,8,15.6,115.1,108.9,6.2,15.5,5.25,19.3,2.9,10.2,6.6,3.7,58.8,59.8,18.9,98.75,10.5,809
189,Vasilije Micic,OKC,30,22,17,5,12.0,116.6,101.1,15.5,26.5,4.07,39.0,0.4,5.3,3.1,9.6,47.9,50.8,14.9,98.89,7.3,542
207,Chris Paul,GSW,38,32,16,16,27.6,115.5,111.5,4.0,34.4,6.05,43.5,1.1,11.8,6.5,7.2,51.2,54.3,14.0,100.45,11.3,1851
